y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.7,0.49,0.52,65,7.6,226759.03,322,22715.34,1608525.7,5,31571,0.66,FO,A+,购物中心,326,T2,86,11
0.67,0.43,0.36,65,7.7,138537.86,333,0,1608525.7,7,13668,0.66,FO,A+,购物中心,326,T2,86,11
0.68,0.42,0.11,53,7.6,107169.94,341,0,1608525.7,11,21332,0.63,FO,A+,购物中心,326,T2,86,11
0.69,0.5,0.24,53,7.8,203959.31,336,0,1608525.7,6,16719,0.61,FO,A+,购物中心,326,T2,86,11
0.63,0.39,-0.11,53,7,204549.12,311,1981.37,1608525.7,6,14238,0.59,FO,A+,购物中心,326,T2,86,11
0.66,0.42,-0.13,68,7.7,131232.62,326,3307.69,1608525.7,12,13915,0.67,FO,A+,购物中心,326,T2,86,11
0.65,0.42,-0.28,68,7.4,171052.34,285,0,1608525.7,7,24597,0.61,FO,A+,购物中心,326,T2,86,11
0.64,0.39,-0.17,68,8,112489.37,267,4776.04,1608525.7,12,14979,0.59,FO,A+,购物中心,326,T2,86,11
0.62,0.28,-0.55,61,6.8,54698.54,269,0,1608525.7,7,7915,0.59,FO,A+,购物中心,326,T2,86,11
0.51,0.21,-0.47,61,7.5,70364.28,215,15251.66,1608525.7,6,13793,0.42,FO,A+,购物中心,326,T2,86,11
0.56,0.2,0.05,61,7.3,113277.52,269,0,1608525.7,4,11542,0.49,FO,A+,购物中心,326,T2,86,11
0.58,0.24,-0.32,80,6.9,103344.54,284,9238.4,1608525.7,11,9316,0.53,FO,A+,购物中心,326,T2,86,11
0.61,0.34,-0.2,80,7.1,180443.86,299,34555.16,1608525.7,10,8139,0.57,FO,A+,购物中心,326,T2,86,11
0.56,0.32,0.07,80,7.5,147583.57,288,0,1608525.7,17,5878,0.51,FO,A+,购物中心,326,T2,86,11
0.62,0.22,0.04,99,8.2,111414.55,349,0,1608525.7,5,11232,0.54,FO,A+,购物中心,326,T2,86,11
0.55,0.32,0.32,99,7.2,269245.42,338,0,1608525.7,14,7990,0.54,FO,A+,购物中心,326,T2,86,11
0.57,0.22,-0.53,100,6.3,95480.35,335,0,1608525.7,11,14673,0.54,FO,A+,购物中心,326,T2,86,11
0.56,0.2,-0.4,97,7.1,79354.52,322,0,1608525.7,15,19074,0.55,FO,A+,购物中心,326,T2,86,11
0.56,0.32,-0.09,97,7.2,155465.82,290,0,1608525.7,12,8298,0.55,FO,A+,购物中心,326,T2,86,11
0.52,0.1,-0.42,100,7.3,65423.86,273,0,1608525.7,9,8047,0.51,FO,A+,购物中心,326,T2,86,11
0.69,0.18,0.6,83,6.9,56916.58,241,4814.93,779177.67,0,0,0.65,FO,C,购物中心,174,T1,95,5
0.7,0.26,0.49,83,6.7,52788.21,270,6772.57,779177.67,0,0,0.66,FO,C,购物中心,174,T1,95,5
0.69,0.35,0.94,83,7,68970.6,260,2200,779177.67,0,0,0.66,FO,C,购物中心,174,T1,95,5
0.69,0.35,0.99,83,6.6,70801.71,266,4451.61,779177.67,2,12255,0.66,FO,C,购物中心,174,T1,95,5
0.68,0.18,-0.01,83,6.5,35245.3,273,5546.87,779177.67,6,5255,0.67,FO,C,购物中心,174,T1,95,5
0.61,0.04,-0.15,87,6.4,30097.09,317,11960.98,779177.67,6,18393,0.64,FO,C,购物中心,174,T1,95,5
0.67,0.19,-0.5,87,6.1,34294.87,302,88.57,779177.67,4,10920,0.66,FO,C,购物中心,174,T1,95,5
0.66,0.39,1.06,87,9.9,72476.58,292,0.49,779177.67,3,16595,0.61,FO,C,购物中心,174,T1,95,5
