学号,课程名称,学分,平时成绩,期中成绩,期末成绩,实验成绩,总评成绩,备注,折算成绩,补考成绩,补考成绩备注,重修成绩,绩点,课程性质,课程归属,重修标记,选课课号,学年
1105,新技术讲座(2),0.5,,,86,NA,86,,86,NA,,NA,3.6,专业必修课,,0,(2012-2013-2)-10400505-05010031-3,2012-2013
1105,大学物理(1),4,84,,51,NA,61,,61,NA,,NA,1.1,专业必修课,,0,(2012-2013-2)-10404005-05010027-1,2012-2013
1105,数据结构,4,95,,44,NA,64,,64,NA,,NA,1.4,专业必修课,,0,(2012-2013-2)-10404010-05010037-1,2012-2013
1105,离散数学,4,100,,55,NA,69,,69,NA,,NA,1.9,专业必修课,,0,(2012-2013-2)-10404008-07010013-2,2012-2013
1105,电路原理,2,97,,59,NA,70,,70,NA,,NA,2,专业必修课,,0,(2012-2013-2)-10402012-05080001-1,2012-2013
1105,高等数学(2),5,82.5,,80,NA,81,,81,NA,,NA,3.1,专业必修课,,0,(2012-2013-2)-10405004-05010045-2,2012-2013
1105,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2012-2013-2)-30900501-03010003-12,2012-2013
1105,思想道德修养与法律基础,2,90,,86,NA,88,,88,NA,,NA,3.8,公共必修课,,0,(2012-2013-2)-10902005-03010009-1,2012-2013
1105,从零开始学法语（下）,2,98,98,98,NA,98,,98,NA,,NA,NA,公共任选课,历史与文学,0,(2013-2014-1)-10000030-04010016-1,2013-2014
1105,零基础美术,2,,,0,NA,0,缺考,0,NA,,NA,NA,公共任选课,艺术,0,(2013-2014-1)-10000015-09010001-2,2013-2014
1105,模拟电子技术,3,78,,58,NA,68,,68,NA,,NA,1.8,专业限选课,,0,(2013-2014-1)-10403018-05010071-1,2013-2014
1105,大学英语（五）,4,79,,64,NA,72,,72,NA,,NA,2.2,公共必修课,,0,(2013-2014-1)-10304113-02010040-2,2013-2014
1105,大学物理(2),2,75,,74,NA,74,,74,NA,,NA,2.4,专业限选课,,0,(2013-2014-1)-10402002-05010027-1,2013-2014
1105,大学物理实验,1,,,,74,74,,74,NA,,NA,2.4,实践课,,0,(2013-2014-1)-10401003-05010027-3,2013-2014
1105,毛泽东思想和中国特色社会主义理论体系概论,4,92,,71,NA,79,,79,NA,,NA,2.9,公共必修课,,0,(2013-2014-1)-10904098-06010003-1,2013-2014
1105,电子电工实习,1,,,,80,80,,80,NA,,NA,3,实践课,,0,(2013-2014-1)-10401005-05010021-2,2013-2014
1105,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2013-2014-1)-30900584-08080001-5,2013-2014
1105,田径,2,90,0,86,0,87,,87,NA,,NA,3.7,公共必修课,,0,(2013-2014-1)-09-08010029-6,2013-2014
1105,面向对象程序设计(C++),3,90,,85,NA,87,,87,NA,,NA,3.7,专业限选课,,0,(2013-2014-1)-10403017-05010002-1,2013-2014
1105,面向对象程序设计课程设计,1.5,,,,87,87,,87,NA,,NA,3.7,实践课,,0,(2013-2014-1)-10401512-05010002-1,2013-2014
1105,物联网概论,2,,,95,NA,95,,95,NA,,NA,4.5,公共必修课,,0,(2013-2014-1)-10402047-05010023-1,2013-2014
1105,概率论与数理统计,3,91,,24,NA,51,,51,52,,63,NA,专业限选课,,0,(2013-2014-1)-10403009-07010001-3,2013-2014
1105,大学英语（四）,4,70,,49,NA,60,,60,NA,,NA,1,公共必修课,,0,(2013-2014-2)-10304104-02010018-1,2013-2014
1105,计算机网络基础,4,95,,40,NA,62,,62,NA,,NA,1.2,专业必修课,,0,(2013-2014-2)-10404056-05010009-1,2013-2014
1105,Linux程序设计,4,85,,60,NA,70,,70,NA,,NA,2,专业必修课,,0,(2013-2014-2)-10404012-05010015-1,2013-2014
1105,田径,2,68,,78,NA,73,,73,NA,,NA,2.3,公共必修课,,0,(2013-2014-2)-09-08010029-2,2013-2014
1105,MySQL数据库,3,90,,76,NA,80,,80,NA,,NA,3,专业必修课,,0,(2013-2014-2)-10403062-05010028-1,2013-2014
1105,数学实验,1,90,,70,NA,80,,80,NA,,NA,3,专业任选课,,0,(2013-2014-2)-10401002-07010030-1,2013-2014
1105,中国近代史纲要,2,88,,77,NA,81,,81,NA,,NA,3.1,公共必修课,,0,(2013-2014-2)-10902098-03010013-1,2013-2014
1105,数字逻辑,3,95,,83,NA,88,,88,NA,,NA,3.8,专业必修课,,0,(2013-2014-2)-10403019-05010021-1,2013-2014
1105,动态网站开发,4.5,83,,70,NA,75,,75,NA,,NA,2.5,专业必修课,,0,(2014-2015-1)-10404519-05010057-1,2014-2015
1105,动态网站开发网页设计项目,2,,,,75,75,,75,NA,,NA,2.5,实践课,,0,(2014-2015-1)-10411112-05010057-1,2014-2015
1105,音视频处理,2,77.5,,83,NA,81,,81,NA,,NA,3.1,专业必修课,,0,(2014-2015-1)-10402072-05010043-1,2014-2015
1105,单片机技术,3,82,,80,NA,81,,81,NA,,NA,3.1,专业必修课,,0,(2014-2015-1)-10403016-05080001-2,2014-2015
1105,网页程序设计,3,100,,70,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2014-2015-1)-10403013-05030004-1,2014-2015
1105,图像处理技术,2,90,,85,NA,87,,87,NA,,NA,3.7,专业必修课,,0,(2014-2015-1)-10400503-05010044-1,2014-2015
1105,统一建模语言,2,90,,90,NA,90,,90,NA,,NA,4,专业必修课,,0,(2014-2015-1)-10402066-05010014-1,2014-2015
1105,动画制作技术,2,80,,83,NA,82,,82,NA,,NA,3.2,专业任选课,,0,(2014-2015-2)-10400501-05010044-2,2014-2015
1105,.NET程序设计,3.5,90,,82,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2014-2015-2)-10403599-05010043-1,2014-2015
1105,测试工具,3,93,,85.5,NA,89,,89,NA,,NA,3.9,专业必修课,,0,(2014-2015-2)-10403095-05010020-1,2014-2015
1105,无线传感器网络,2.5,87,,92,NA,90,,90,NA,,NA,4,专业必修课,,0,(2014-2015-2)-10403020-05080001-1,2014-2015
1105,职业方向培训,5,,,75,NA,75,,75,NA,,NA,2.5,专业必修课,,0,(2015-2016-1)-10404092-20140705-1,2015-2016
1105,毕业设计,6,,,76.3,NA,76,,76,NA,,NA,2.6,实践课,,0,(2015-2016-1)-10021007-05080001-1,2015-2016
1105,岗前培训,3,,,80,NA,80,,80,NA,,NA,3,专业必修课,,0,(2015-2016-1)-10403085-05010017-1,2015-2016
1107,形势与政策,0.5,,,,NA,65,,65,NA,,NA,1.5,公共必修课,,NA,(2012-2013-1)-03132092-48730,2012-2013
1107,线性代数,3,,,,NA,67.3,,67.3,NA,,NA,1.73,专业基础课,,NA,(2012-2013-1)-07132103-48735,2012-2013
1107,程序设计基础(C语言),4,,,,NA,78.2,,78.2,NA,,NA,2.82,专业必修课,,NA,(2012-2013-1)-05011049-48732,2012-2013
1107,马克思主义基本原理,2,,,,NA,81.4,,81.4,NA,,NA,3.14,公共基础课,,NA,(2012-2013-1)-03011001-48729,2012-2013
1107,大学英语,4,,,,NA,82.1,,82.1,NA,,NA,3.21,公共课,,NA,(2012-2013-1)-04132060-48731,2012-2013
1107,计算机导论,2,,,,NA,85,,85,NA,,NA,3.5,公共必修课,,NA,(2012-2013-1)-05132035-48733,2012-2013
1107,高等数学,5,,,,NA,85.3,,85.3,NA,,NA,3.53,专业基础课,,NA,(2012-2013-1)-07132016-48734,2012-2013
1107,体育,1,,,,NA,95,,95,NA,,NA,4.5,专业基础课,,NA,(2012-2013-1)-08011003-48736,2012-2013
1107,心理健康教育,2,,,,NA,95,,95,NA,,NA,4.5,公共课,,NA,(2012-2013-1)-10332063-48737,2012-2013
1107,大学英语(2),4,90,90,58.5,NA,74,,74,NA,,NA,2.4,公共必修课,,0,(2012-2013-2)-10304008-04010016-3,2012-2013
1107,程序设计基础项目,1.5,,,,83,83,,83,NA,,NA,3.3,实践课,,0,(2012-2013-2)-10401510-05010034-1,2012-2013
1107,新技术讲座(2),0.5,,,84,NA,84,,84,NA,,NA,3.4,专业必修课,,0,(2012-2013-2)-10400505-05010031-3,2012-2013
1107,数据结构,4,88,,55.5,NA,69,,69,NA,,NA,1.9,专业必修课,,0,(2012-2013-2)-10404010-05010037-1,2012-2013
1107,大学物理(1),4,90,,71,NA,77,,77,NA,,NA,2.7,专业必修课,,0,(2012-2013-2)-10404005-05010027-1,2012-2013
1107,电路原理,2,93,,78,NA,83,,83,NA,,NA,3.3,专业必修课,,0,(2012-2013-2)-10402012-05080001-1,2012-2013
1107,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2012-2013-2)-30900501-03010003-12,2012-2013
1107,离散数学,4,100,,82,NA,87,,87,NA,,NA,3.7,专业必修课,,0,(2012-2013-2)-10404008-07010013-2,2012-2013
